X_cent (pixel),Y_cent (pixel)
47.026490066225165,71.02649006622516
48.53741496598639,70.23809523809524
45.54609929078014,66.95744680851064
47.044117647058826,67.14705882352942
48.26573426573427,66.6923076923077
48.943661971830984,67.07746478873239
49.626865671641795,64.02238805970148
48.359154929577464,64.78169014084507
46.54929577464789,65.38028169014085
45.820689655172416,63.58620689655172
46.30597014925373,63.56716417910448
46.49180327868852,63.82786885245902
48.21238938053097,63.83185840707964
48.5,63.5
51.58015267175573,64.70229007633588
52.023809523809526,63.88095238095238
51.14678899082569,60.74311926605505
51.8,61.0695652173913
51.34166666666667,61.63333333333333
49.958333333333336,62.00833333333333
51.107438016528924,62.04132231404959
52.36065573770492,62.08196721311475
52.232,58.32
52.536,58.888
53.55357142857143,55.88392857142857
52.1900826446281,56.94214876033058
54.40983606557377,56.31147540983606
54.32710280373832,55.58878504672897
51.92391304347826,56.34782608695652
52.678899082568805,57.23853211009174
49.61607142857143,56.11607142857143
47.792792792792795,57.10810810810811
49.63461538461539,59.69230769230769
49.246153846153845,60.676923076923075
50.28688524590164,57.41803278688525
51.76635514018692,59.36448598130841
51.416058394160586,60.02919708029197
51.84251968503937,58.16535433070866
49.392,58.376
48.58870967741935,57.83870967741935
49.22834645669291,59.95275590551181
48.92857142857143,58.57142857142857
45.945736434108525,57.95348837209302
45.523809523809526,59.61904761904762
45.0234375,61.8671875
44.188976377952756,60.46456692913386
44.25396825396825,61.30952380952381
48.20353982300885,62.15929203539823
46.525862068965516,60.810344827586206
46.717948717948715,58.81196581196581
44.728155339805824,59.592233009708735
46.00952380952381,59.476190476190474
44.50420168067227,59.80672268907563
44.11764705882353,57.15126050420168
44.51145038167939,57.465648854961835
42.03361344537815,57.42016806722689
43.97709923664122,59.12213740458015
42.666666666666664,58.24603174603175
43.16279069767442,58.86821705426357
45.05,54.6
44.73684210526316,52.631578947368425
46.450980392156865,50.166666666666664
45.303030303030305,52.23232323232323
46.708333333333336,53.802083333333336
46.09803921568628,55.6078431372549
47.05102040816327,57.142857142857146
48.46491228070175,58.780701754385966
46.439655172413794,60.43103448275862
47.3359375,61.8046875
47.074380165289256,59.17355371900827
47.49180327868852,60.12295081967213
46.2520325203252,56.69918699186992
44.73015873015873,59.84126984126984
43.107692307692304,55.02307692307692
44.193548387096776,55.14516129032258
43.904761904761905,54.523809523809526
45.24812030075188,53.38345864661654
45.916030534351144,55.274809160305345
46.116279069767444,57.4031007751938
49.26190476190476,57.13492063492063
49.888888888888886,54.904761904761905
49.761538461538464,54.93846153846154
46.78030303030303,52.47727272727273
45.775999999999996,53.84
46.65625,52.9921875
46.07575757575758,50.97727272727273
45.72794117647059,52.5
45.41984732824427,53.587786259541986
44.15,51.8
48.0,53.41726618705036
48.88321167883212,51.948905109489054
46.230769230769226,54.46923076923077
42.5,56.30769230769231
44.0,59.46153846153846
43.56349206349206,58.84126984126984
43.689320388349515,57.213592233009706
45.10084033613445,56.319327731092436
42.6640625,57.609375
40.49618320610687,59.44274809160305
39.93893129770993,61.87786259541985
40.25,61.40909090909091
