X_cent (pixel),Y_cent (pixel)
77.52892561983471,83.97520661157024
74.5,81.48958333333333
75.38157894736842,75.27631578947368
75.38157894736842,75.27631578947368
72.78947368421052,74.0
68.89655172413794,70.3103448275862
68.89655172413794,70.3103448275862
63.984848484848484,68.71212121212122
58.0,63.79245283018868
58.0,63.79245283018868
56.38235294117647,59.01470588235294
53.9054054054054,49.067567567567565
53.9054054054054,49.067567567567565
51.10526315789474,45.32631578947368
49.029126213592235,39.03883495145631
49.029126213592235,39.03883495145631
47.31578947368421,40.368421052631575
50.705882352941174,44.38235294117647
50.705882352941174,44.38235294117647
48.54455445544554,43.53465346534654
43.81578947368421,45.48684210526316
43.81578947368421,45.48684210526316
44.57142857142857,47.03896103896104
44.833333333333336,44.61538461538461
44.833333333333336,44.61538461538461
45.25581395348837,42.651162790697676
39.922413793103445,34.62068965517241
39.922413793103445,34.62068965517241
36.6171875,28.8203125
28.81188118811881,26.83168316831683
28.81188118811881,26.83168316831683
26.397849462365592,27.483870967741936
18.786516853932582,29.404494382022477
18.786516853932582,29.404494382022477
14.47191011235955,27.101123595505612
