X_cent (pixel),Y_cent (pixel)
13.64367816091954,25.2183908045977
20.516483516483518,27.263736263736263
20.516483516483518,27.263736263736263
20.333333333333332,27.646464646464647
15.325842696629213,31.730337078651687
15.325842696629213,31.730337078651687
13.277777777777779,31.6
11.086419753086421,29.345679012345677
11.086419753086421,29.345679012345677
10.454545454545453,26.545454545454547
12.877777777777778,18.922222222222224
12.877777777777778,18.922222222222224
11.46987951807229,16.686746987951807
10.563218390804597,14.0
10.563218390804597,14.0
12.224719101123595,12.550561797752806
12.387096774193548,13.98924731182796
12.387096774193548,13.98924731182796
11.904255319148936,18.5531914893617
12.6,20.077777777777776
12.6,20.077777777777776
12.46,17.119999999999997
13.302083333333332,11.166666666666664
13.302083333333332,11.166666666666664
16.797752808988765,12.123595505617978
19.56989247311828,17.623655913978496
19.56989247311828,17.623655913978496
20.444444444444443,19.444444444444443
21.653465346534652,22.00990099009901
21.653465346534652,22.00990099009901
21.01149425287356,19.39080459770115
18.67289719626168,21.514018691588785
18.67289719626168,21.514018691588785
16.04705882352941,21.541176470588233
